settlement_id,settlement_date,settlement_cycle,settlement_utr,razorpay_net_settlement,bank_reference,bank_date,bank_credit,amount_score,date_score,transaction_type_score,narration_score,reference_score,base_score,ambiguity_penalty,ambiguity_type,candidate_count,top_candidate_2_score,top_candidate_3_score,confidence,status,score_explanation,reason
setl_0016,2026-07-07,standard_t+2,RZP20260616HDFC8493,194044.36,RZP20260616HDFC8493,2026-07-07,194044.36,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,8,25.0,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 25.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0018,2026-07-09,standard_t+2,RZP20260618AXIS6271,80956.97,RZP20260618AXIS6271,2026-07-09,80956.97,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,9,23.5,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0019,2026-07-10,standard_t+2,RZP20260619KKBK9821,92681.81,RZP20260619KKBK9821,2026-07-10,92681.81,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,8,23.5,21.25,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0020,2026-07-13,merchant_t+1,RZP20260620SBIN2018,107484.08,RZP20260620SBIN2018,2026-07-13,107484.08,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,8,23.5,20.0,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: merchant_t+1. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0024,2026-07-17,standard_t+2,RZP20260624AXIS4254,167926.38,RZP20260624AXIS4254,2026-07-17,167926.38,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,9,30.0,25.0,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 30.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0025,2026-07-18,standard_t+2,RZP20260625AXIS4982,306161.94,RZP20260625AXIS4982,2026-07-18,306161.94,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,7,23.5,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0026,2026-07-20,standard_t+2,RZP20260626KKBK3006,87348.12,RZP20260626KKBK3006,2026-07-20,87348.12,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,7,30.0,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 30.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0027,2026-07-21,standard_t+2,RZP20260627SBIN2194,102598.44,RZP20260627SBIN2194,2026-07-21,102598.44,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,4,23.5,21.25,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0028,2026-07-22,standard_t+2,RZP20260628ICICI5763,144676.25,RZP20260628ICICI5763,2026-07-22,144676.25,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,4,25.25,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 25.25%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0029,2026-07-23,standard_t+2,RZP20260629KKBK8443,77836.17,RZP20260629KKBK8443,2026-07-23,77836.17,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,2,20.0,,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 20.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
