recon_id,entity_id,type,created_date,settled_date,settlement_id,payment_id,order_id,order_receipt,method,payment_region,card_network,card_type,amount,fee,tax,fx_charge,debit,credit,settlement_utr,description,notes,settled
REC00069,pay_202600000069,payment,2026-07-02,2026-07-04,setl_0014,pay_202600000069,order_INV-2026-0066,INV-2026-0066,card,domestic,American Express,credit,76560.00,2296.80,413.42,0.00,0.00,73849.78,RZP20260614AXIS1476,Payment received - Groww Invest Tech,ledger_ref=INV-2026-0066;part=1/1,true
REC00070,pay_202600000070,payment,2026-07-02,2026-07-04,setl_0014,pay_202600000070,order_INV-2026-0067,INV-2026-0067,upi,domestic,,,4027.80,80.56,14.50,0.00,0.00,3932.74,RZP20260614AXIS1476,Payment received - Furlenco Rentals,ledger_ref=INV-2026-0067;part=1/1,true
REC00071,pay_202600000071,payment,2026-07-02,2026-07-04,setl_0014,pay_202600000071,order_INV-2026-0068,INV-2026-0068,upi,domestic,,,13993.20,279.86,50.37,0.00,0.00,13662.97,RZP20260614AXIS1476,Payment received - Apollo 24x7,ledger_ref=INV-2026-0068;part=1/1,true
REC00072,pay_202600000072,payment,2026-07-02,2026-07-04,setl_0014,pay_202600000072,order_INV-2026-0069,INV-2026-0069,upi,domestic,,,34417.50,688.35,123.90,0.00,0.00,33605.25,RZP20260614AXIS1476,Payment received - Myntra India,ledger_ref=INV-2026-0069;part=1/1,true
REC00073,pay_202600000073,payment,2026-07-02,2026-07-04,setl_0014,pay_202600000073,order_INV-2026-0070,INV-2026-0070,card,domestic,Visa,credit,94500.00,1890.00,340.20,0.00,0.00,92269.80,RZP20260614AXIS1476,Payment received - RazorpayX Services,ledger_ref=INV-2026-0070;part=1/1,true
REC00074,pay_202600000074,payment,2026-07-06,2026-07-06,setl_0015,pay_202600000074,order_INV-2026-0071,INV-2026-0071,card,domestic,Visa,credit,4669.00,93.38,16.81,0.00,0.00,4558.81,RZP20260615AXIS3112,Payment received - Zepto Commerce Pvt Ltd,ledger_ref=INV-2026-0071;part=1/1,true
REC00075,pay_202600000075,payment,2026-07-06,2026-07-06,setl_0015,pay_202600000075,order_INV-2026-0072,INV-2026-0072,upi,domestic,,,14220.00,284.40,51.19,0.00,0.00,13884.41,RZP20260615AXIS3112,Payment received - Tata Cliq Digital,ledger_ref=INV-2026-0072;part=1/1,true
REC00076,pay_202600000076,payment,2026-07-06,2026-07-06,setl_0015,pay_202600000076,order_INV-2026-0073,INV-2026-0073,card,domestic,Visa,credit,36085.00,721.70,129.91,0.00,0.00,35233.39,RZP20260615AXIS3112,Payment received - Boat Labs,ledger_ref=INV-2026-0073;part=1/1,true
REC00077,pay_202600000077,payment,2026-07-06,2026-07-06,setl_0015,pay_202600000077,order_INV-2026-0074,INV-2026-0074,card,domestic,Visa,credit,97100.00,1942.00,349.56,0.00,0.00,94808.44,RZP20260615AXIS3112,Payment received - Pepperfry Home,ledger_ref=INV-2026-0074;part=1/1,true
REC00078,pay_202600000078,payment,2026-07-06,2026-07-06,setl_0015,pay_202600000078,order_INV-2026-0075,INV-2026-0075,card,domestic,Visa,credit,5538.75,110.78,19.94,0.00,0.00,5408.03,RZP20260615AXIS3112,Payment received - PhonePe Commerce,ledger_ref=INV-2026-0075;part=1/1,true
REC00079,pay_202600000079,payment,2026-07-04,2026-07-07,setl_0016,pay_202600000079,order_INV-2026-0076,INV-2026-0076,upi,domestic,,,15609.00,312.18,56.19,0.00,0.00,15240.63,RZP20260616HDFC8493,Payment received - EaseMyTrip Travel,ledger_ref=INV-2026-0076;part=1/1,true
REC00080,pay_202600000080,payment,2026-07-04,2026-07-07,setl_0016,pay_202600000080,order_INV-2026-0077,INV-2026-0077,netbanking,domestic,,,35812.50,716.25,128.93,0.00,0.00,34967.32,RZP20260616HDFC8493,Payment received - IKEA Retail India,ledger_ref=INV-2026-0077;part=1/1,true
REC00081,pay_202600000081,payment,2026-07-04,2026-07-07,setl_0016,pay_202600000081,order_INV-2026-0078,INV-2026-0078,wallet,domestic,,,123625.00,2472.50,445.05,0.00,0.00,120707.45,RZP20260616HDFC8493,Payment received - Flipkart Online,ledger_ref=INV-2026-0078;part=1/1,true
REC00082,pay_202600000082,payment,2026-07-04,2026-07-07,setl_0016,pay_202600000082,order_INV-2026-0079,INV-2026-0079,upi,domestic,,,6282.00,125.64,22.62,0.00,0.00,6133.74,RZP20260616HDFC8493,Payment received - BookMyShow Pvt Ltd,ledger_ref=INV-2026-0079;part=1/1,true
REC00083,pay_202600000083,payment,2026-07-04,2026-07-07,setl_0016,pay_202600000083,order_INV-2026-0080,INV-2026-0080,upi,domestic,,,17406.00,348.12,62.66,0.00,0.00,16995.22,RZP20260616HDFC8493,Payment received - Decathlon Sports India,ledger_ref=INV-2026-0080;part=1/1,true
REC00084,pay_202600000084,payment,2026-07-07,2026-07-08,setl_0017,pay_202600000084,order_INV-2026-0081,INV-2026-0081,card,domestic,Visa,credit,41800.00,836.00,150.48,0.00,0.00,40813.52,RZP20260617AXIS9875,Payment received - Big Basket India,ledger_ref=INV-2026-0081;part=1/1,true
REC00085,pay_202600000085,payment,2026-07-07,2026-07-08,setl_0017,pay_202600000085,order_INV-2026-0082,INV-2026-0082,card,domestic,Visa,credit,156150.00,3123.00,562.14,0.00,0.00,152464.86,RZP20260617AXIS9875,Payment received - Lenskart Solutions,ledger_ref=INV-2026-0082;part=1/1,true
REC00086,pay_202600000086,payment,2026-07-07,2026-07-08,setl_0017,pay_202600000086,order_INV-2026-0083,INV-2026-0083,wallet,domestic,,,3832.40,76.65,13.80,0.00,0.00,3741.95,RZP20260617AXIS9875,Payment received - PB Fintech,ledger_ref=INV-2026-0083;part=1/2,true
REC00087,pay_202600000087,payment,2026-07-07,2026-07-09,setl_0018,pay_202600000087,order_INV-2026-0083,INV-2026-0083,wallet,domestic,,,3135.60,62.71,11.29,0.00,0.00,3061.60,RZP20260618AXIS6271,Payment received - PB Fintech,ledger_ref=INV-2026-0083;part=2/2,true
REC00088,pay_202600000088,payment,2026-07-07,2026-07-08,setl_0017,pay_202600000088,order_INV-2026-0084,INV-2026-0084,upi,domestic,,,21040.50,420.81,75.75,0.00,0.00,20543.94,RZP20260617AXIS9875,Payment received - Furlenco Furniture,ledger_ref=INV-2026-0084;part=1/1,true
REC00089,pay_202600000089,payment,2026-07-07,2026-07-08,setl_0017,pay_202600000089,order_INV-2026-0085,INV-2026-0085,upi,domestic,,,45135.00,902.70,162.49,0.00,0.00,44069.81,RZP20260617AXIS9875,Payment received - PharmEasy Labs,ledger_ref=INV-2026-0085;part=1/1,true
REC00090,pay_202600000090,payment,2026-07-07,2026-07-09,setl_0018,pay_202600000090,order_INV-2026-0086,INV-2026-0086,netbanking,domestic,,,1266.25,25.33,4.56,0.00,0.00,1236.36,RZP20260618AXIS6271,Payment received - Myntra Designs,ledger_ref=INV-2026-0086;part=1/1,true
